iter	Passed	Remaining
436	1428	1840
437	1431	1837
438	1434	1832
439	1436	1828
440	1440	1825
441	1447	1827
442	1449	1822
443	1453	1819
444	1455	1815
445	1458	1811
446	1462	1809
447	1464	1804
448	1466	1799
449	1468	1795
450	1470	1790
451	1472	1785
452	1476	1782
453	1478	1778
454	1480	1773
455	1483	1769
456	1485	1764
457	1487	1760
458	1489	1756
459	1493	1753
460	1495	1748
461	1497	1744
462	1500	1739
463	1502	1735
464	1504	1730
465	1507	1727
466	1510	1723
467	1512	1719
468	1515	1715
469	1517	1711
470	1522	1709
471	1530	1711
472	1534	1709
473	1537	1705
474	1539	1701
475	1541	1697
476	1544	1693
477	1546	1688
478	1550	1686
479	1553	1682
480	1555	1678
481	1558	1674
482	1560	1670
483	1564	1667
484	1566	1663
485	1569	1659
486	1571	1655
487	1574	1651
488	1579	1650
489	1582	1646
490	1584	1642
491	1595	1647
492	1598	1643
493	1600	1639
494	1603	1635
495	1606	1632
496	1618	1638
497	1628	1641
498	1630	1637
499	1633	1633
500	1637	1631
501	1641	1628
502	1644	1624
503	1646	1620
504	1648	1615
505	1651	1612
506	1654	1608
507	1657	1605
508	1659	1601
509	1662	1596
510	1665	1594
511	1668	1589
512	1672	1587
513	1674	1583
514	1676	1578
515	1679	1575
516	1682	1571
517	1686	1568
518	1688	1565
519	1691	1561
520	1694	1557
521	1696	1553
522	1698	1549
523	1701	1545
524	1703	1541
525	1705	1537
526	1707	1532
527	1710	1529
528	1712	1525
529	1715	1521
530	1718	1517
531	1720	1513
532	1722	1508
533	1724	1504
534	1727	1501
535	1730	1497
536	1733	1494
537	1735	1490
538	1740	1488
539	1742	1484
540	1746	1481
541	1749	1478
542	1751	1474
543	1753	1469
544	1755	1465
545	1758	1462
546	1761	1458
547	1763	1454
548	1766	1450
549	1768	1446
550	1770	1442
551	1773	1439
552	1777	1436
553	1779	1432
554	1781	1428
555	1783	1424
556	1786	1420
557	1788	1416
558	1791	1413
559	1793	1409
560	1795	1405
561	1797	1401
562	1800	1397
563	1803	1393
564	1806	1390
565	1808	1386
566	1810	1382
567	1812	1378
568	1815	1375
569	1817	1371
570	1822	1369
571	1824	1365
572	1826	1361
573	1829	1357
574	1831	1353
575	1833	1349
576	1836	1346
577	1838	1342
578	1840	1338
579	1844	1335
580	1846	1331
581	1848	1327
582	1852	1325
583	1854	1321
584	1857	1317
585	1859	1313
586	1861	1309
587	1863	1305
588	1866	1302
589	1868	1298
590	1870	1294
591	1873	1290
592	1875	1286
593	1877	1283
594	1880	1279
595	1882	1276
596	1884	1272
597	1886	1268
598	1889	1264
599	1891	1260
600	1893	1257
601	1897	1254
602	1899	1250
603	1901	1246
604	1904	1243
605	1907	1240
606	1909	1236
607	1912	1232
608	1914	1229
609	1916	1225
610	1918	1221
611	1920	1217
612	1922	1213
613	1925	1210
614	1927	1206
615	1930	1203
616	1932	1199
617	1934	1195
618	1936	1191
619	1939	1188
620	1941	1185
621	1944	1181
622	1946	1177
623	1948	1174
624	1950	1170
625	1954	1167
626	1957	1164
627	1959	1160
628	1961	1157
629	1963	1153
630	1965	1149
631	1969	1146
632	1971	1143
633	1974	1139
634	1976	1136
635	1978	1132
636	1981	1128
637	1986	1127
638	1988	1123
639	1991	1120
640	1993	1116
641	1995	1113
642	1998	1109
643	2001	1106
644	2003	1102
645	2005	1099
646	2008	1095
647	2010	1091
648	2012	1088
649	2015	1085
650	2017	1081
651	2019	1078
652	2021	1074
653	2024	1070
654	2026	1067
655	2029	1064
656	2031	1060
657	2033	1057
658	2036	1053
659	2038	1049
660	2040	1046
661	2043	1043
662	2046	1040
663	2048	1036
664	2053	1034
665	2056	1031
666	2058	1027
667	2060	1024
668	2063	1020
669	2065	1017
670	2067	1013
671	2069	1010
672	2073	1007
673	2075	1003
674	2077	1000
675	2079	996
676	2081	993
677	2084	989
678	2089	987
679	2091	984
680	2094	981
681	2097	977
682	2099	974
683	2102	971
684	2105	968
685	2107	964
686	2109	961
687	2111	957
688	2113	954
689	2116	950
690	2119	947
691	2122	944
692	2124	941
693	2126	937
694	2128	934
695	2132	931
696	2135	928
697	2137	924
698	2140	921
699	2143	918
700	2145	915
701	2148	912
702	2151	908
703	2153	905
704	2155	902
705	2158	898
706	2161	895
707	2164	892
708	2166	889
709	2168	885
710	2170	882
711	2172	878
712	2175	875
713	2178	872
714	2180	869
715	2183	865
716	2185	862
717	2189	859
718	2192	857
719	2195	853
720	2197	850
721	2199	846
722	2201	843
723	2204	840
724	2206	837
725	2209	833
726	2211	830
727	2213	827
728	2216	823
729	2218	820
730	2221	817
731	2223	814
732	2225	810
733	2227	807
734	2230	804
735	2233	801
736	2236	798
737	2238	794
738	2240	791
739	2243	788
740	2245	784
741	2248	781
742	2251	778
743	2253	775
744	2255	772
745	2258	768
746	2260	765
747	2267	763
748	2269	760
749	2271	757
750	2273	753
751	2275	750
752	2279	747
753	2281	744
754	2283	741
755	2286	737
756	2288	734
757	2290	731
758	2293	728
759	2295	725
760	2298	721
761	2300	718
762	2303	715
763	2305	712
764	2310	709
765	2312	706
766	2314	703
